﻿#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
HAS_NO_UNION_TAG;具有民族联合体;;;;;;;;;;;;x
UNIT_BUILD_TIME_IW;$VAL$天;;;;;;;;;;;;x
breton;布列塔尼人;;;;;;;;;;;;x
occitan;欧西坦尼亚人;;;;;;;;;;;;x
HAS_GOODS;生产;;;;;;;;;;;;x
assyrian;亚述人;;;;;;;;;;;;x
xhosa;科萨人;;;;;;;;;;;;x
shinto;神道教;;;;;;;;;;;;x
sephardic;塞法迪犹太人;;;;;;;;;;;;x
picard;皮卡第人;;;;;;;;;;;;x
jewish_cultures;犹太人;;;;;;;;;;;;x
far_east_asian;远东人;;;;;;;;;;;;x
arabic;阿拉伯人;;;;;;;;;;;;x
pan_albanian;泛阿拉伯人;;;;;;;;;;;;x
HAS_SIEGE;被围攻;;;;;;;;;;;;x
separatist_rebels_title;爱国者;;;;;;;;;;;;x
separatist_rebels_name;$CULTURE$爱国者;;;;;;;;;;;;x
separatist_rebels_desc;爱国主义叛军梦想着与他们的同胞在自由的旗帜下重归统一，任何被他们占领的省份最终会归属到与他们同文化的邻国版图。;;;;;;;;;;;;x
separatist_rebels_army;$CULTURE$爱国者;;;;;;;;;;;;x
turkish_nationalist_rebels_title;土耳其民族主义者;;;;;;;;;;;;x
turkish_nationalist_rebels_name;土耳其民族主义者;;;;;;;;;;;;x
turkish_nationalist_rebels_desc;土耳其民族主义者寻求推翻罗姆帝国，代之以一个自由主义的共和国。;;;;;;;;;;;;x
turkish_nationalist_rebels_army;土耳其民族主义者;;;;;;;;;;;;x
socialist_rebels_title;激进社会主义者;;;;;;;;;;;;x
socialist_rebels_name;激进社会主义者;;;;;;;;;;;;x
socialist_rebels_army;激进社会主义者;;;;;;;;;;;;x
indian_nationalists_title;印度民族主义者;;;;;;;;;;;;x
indian_nationalists_name;印度民族主义者;;;;;;;;;;;;x
indian_nationalists_desc;印度民族主义者要求统一次大陆，用任何必要手段成立独立自由的民族国家。这包括摆脱外来压迫者的束缚，团结起他们的同胞。;;;;;;;;;;;;x
indian_nationalists_army;印度民族主义者;;;;;;;;;;;;x
christino_rebels_title;克里斯蒂娜派;;;;;;;;;;;;x
christino_rebels_name;克里斯蒂娜派;;;;;;;;;;;;x
christino_rebels_desc;这些叛乱分子支持斐迪南七世的皇室世系，并主张现任国王是个彻头彻尾的冒牌者。他们希望重新拥立“合法的女王”，恢复前王室制定的自由主义改革政策。;;;;;;;;;;;;x
christino_rebels_army;克里斯蒂娜派;;;;;;;;;;;;x
independence_rebels_title;独立主义者;;;;;;;;;;;;x
independence_rebels_name;独立主义叛军;;;;;;;;;;;;x
independence_rebels_desc;这些人寻求将他们的祖国从附庸地位解脱出来。;;;;;;;;;;;;x
independence_rebels_army;独立主义叛军;;;;;;;;;;;;x
native_rebels_title;反殖民主义者;;;;;;;;;;;;x
native_rebels_name;反殖民主义者叛军;;;;;;;;;;;;x
native_rebels_desc;这些人寻求让当地适当的文化族群恢复国家的统治权。;;;;;;;;;;;;x
native_rebels_army;反殖民主义者叛军;;;;;;;;;;;;x
liberal_rebels_desc;在绝对君主专制下，雅各宾派将寻求实行君主立宪制。否则，雅各宾派将努力建立一个具有自由主义意识形态并着重于政治改革的民主政府。;;;;;;;;;;;;x
NOT_STRONGER_ARMY_THAN;没有拥有足够强大的武力对抗;;;;;;;;;;;;x
STRONGER_ARMY_THAN;拥有足够强大的武力对抗;;;;;;;;;;;;x
regular;正规军;;;;;;;;;;;;x
regular_short;正规军;;;;;;;;;;;;x
horse_artillery;机动炮兵;;;;;;;;;;;;x
horse_artillery_short;机动炮兵;;;;;;;;;;;;x
no_personality;无个性;;;;;;;;;;;;x
active_p;活跃;;;;;;;;;;;;x
